id,link,content,date,retweets,favorites,mentions,hashtags,Pics
1.21679E+18,https://twitter.com/JoeBiden/status/1216788361198866434,"Come on. Your administration has been arguing in court to repeal protections for people with pre-existing conditions.

You're trying to take health care away from millions of people. The least you could do is be honest about it. https://t.co/T0XxHFgy44",1/13/2020 18:25,8357,29696,,,"Come on. Your administration has been arguing in court to repeal protections for people with pre-existing conditions.

You're trying to take health care away from millions of people. The least you could do is be honest about it. https://t.co/"
1.21682E+18,https://twitter.com/JoeBiden/status/1216818448900263938,"Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy — clear-eyed, hard-nosed diplomacy grounded in strategy, that's not about one-off decisions or one-upmanship. https://t.co/yfb8OE98Xu",1/13/2020 20:25,1571,6097,,,"Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy — clear-eyed, hard-nosed diplomacy grounded in strategy, that's not about one-off decisions or one-upmanship. https://t.co/"
1.21684E+18,https://twitter.com/JoeBiden/status/1216842742145462275,"Transit workers are being attacked every day, often while buses are moving, putting bus drivers and riders in harm's way. That's why I strongly support the Transit Worker and Pedestrian Protection Act to protect our workers from harm while doing their job. https://t.co/4nbHsjtKRr",1/13/2020 22:01,309,1277,,,"Transit workers are being attacked every day, often while buses are moving, putting bus drivers and riders in harm's way. That's why I strongly support the Transit Worker and Pedestrian Protection Act to protect our workers from harm while doing their job. https://t.co/"
1.21687E+18,https://twitter.com/JoeBiden/status/1216873556241416193,"When we said to give us your tired, poor, and huddled masses, we absolutely did not mean ""unless they are fleeing violence."" https://t.co/OeIWRpPC8I",1/14/2020 0:03,1271,5362,,,"When we said to give us your tired, poor, and huddled masses, we absolutely did not mean ""unless they are fleeing violence."" https://t.co/"
1.21689E+18,https://twitter.com/JoeBiden/status/1216888913199013889,"The stakes of this election could not be higher. Eight years of Donald Trump will fundamentally alter the character of our nation. We can't let that happen.

We have to do everything in our power to make him a one-term president.",1/14/2020 1:05,2971,14779,,,"The stakes of this election could not be higher. Eight years of Donald Trump will fundamentally alter the character of our nation. We can't let that happen.

We have to do everything in our power to make him a one-term "
1.21691E+18,https://twitter.com/JoeBiden/status/1216906004308414465,"From day one, Donald Trump has been determined to roll back every environmental protection he could get his hands on.

At a time when the climate crisis is pushing our planet to the brink, we should strengthen protections — not weaken them. https://t.co/RPfnT2Fz9y",1/14/2020 2:12,2606,8056,,,"From day one, Donald Trump has been determined to roll back every environmental protection he could get his hands on.

At a time when the climate crisis is pushing our planet to the brink, we should strengthen protections — not weaken them. https://t.co/"
1.21692E+18,https://twitter.com/JoeBiden/status/1216920521369096192,"I'm married to a teacher, I see firsthand how difficult it is. We've got to let educators do their job so our students can succeed - that means paying them the salaries they deserve and giving them the respect that they've earned. https://t.co/iRLj2DPa2o",1/14/2020 3:10,1918,9386,,,"I'm married to a teacher, I see firsthand how difficult it is. We've got to let educators do their job so our students can succeed - that means paying them the salaries they deserve and giving them the respect that they've earned. https://t.co/"
1.21709E+18,https://twitter.com/JoeBiden/status/1217091659076337664,"Why are you so obsessed with me, Mr. President? https://t.co/BbAawEvQo6",1/14/2020 14:30,9081,44544,,,"Why are you so obsessed with me, Mr. President? https://t.co/"
1.21715E+18,https://twitter.com/JoeBiden/status/1217145604691771392,"We’re in a battle for the soul of our nation — and Donald Trump is poison to our soul. He has:

- Fanned the flames of hatred and bigotry
- Embraced dictators
- Ripped children from their parents' arms
- Degraded our national character

We have to get him out of the White House.",1/14/2020 18:05,7776,35409,,,"We’re in a battle for the soul of our nation — and Donald Trump is poison to our soul. He has:

- Fanned the flames of hatred and bigotry
- Embraced dictators
- Ripped children from their parents' arms
- Degraded our national character

We have to get him out of the Wh"
1.2172E+18,https://twitter.com/JoeBiden/status/1217198381812080643,"Donald Trump has once again sided with corporations over American workers by making it easier for them to get away with wage theft and overtime violations.

It's time we put workers' rights over corporate greed and ensure everyone has the workplace protections they deserve. https://t.co/6SgkalkZCT",1/14/2020 21:34,1579,4426,,,"Donald Trump has once again sided with corporations over American workers by making it easier for them to get away with wage theft and overtime violations.

It's time we put workers' rights over corporate greed and ensure everyone has the workplace protections they deserve. https://t.co/"
